11.76,5.60,15.24,0.64,30.01,1.23,1.00,0.67,2.53,6.37,1.00,0.58,74.342499,12.026537
1.96,2.80,6.34,0.61,17.15,1.24,0.88,0.88,6.20,10.83,6.00,0.46,85.779640,12.975529
6.37,3.50,10.16,0.78,44.10,1.35,0.89,0.79,3.28,7.85,1.00,0.72,78.659821,13.254579
2.45,4.20,7.67,0.52,22.66,1.29,0.75,0.45,4.24,7.90,4.00,0.63,86.256424,9.642149
118.09,16.80,61.11,0.40,1258.69,1.62,0.96,0.91,7.59,40.45,-4.00,0.44,1.054569,54.132141
15.68,8.40,20.16,0.48,31.85,1.73,0.50,0.30,2.79,6.60,1.00,0.48,72.529991,7.349305
116.13,16.10,58.84,0.42,1251.95,1.63,0.96,0.91,7.60,39.10,-1.00,0.42,0.772061,50.522434
24.01,9.80,24.31,0.51,60.64,1.79,0.53,0.36,3.66,8.23,1.00,0.54,62.931736,6.913672
48.51,16.10,38.13,0.42,113.31,2.02,0.48,0.23,3.79,10.65,1.00,0.43,54.297115,18.671770
17.15,5.60,16.02,0.84,90.04,1.40,0.78,0.65,1.79,7.25,1.00,0.86,70.552826,12.000102
261.17,24.50,84.77,0.46,888.74,1.55,0.93,0.13,20.17,29.87,1.00,0.53,64.283035,156.269348
3.92,2.10,6.80,1.07,11.64,1.18,0.86,0.77,4.13,7.25,4.00,0.44,92.827011,16.787636
62.23,13.30,41.56,0.45,510.82,1.33,0.90,0.89,6.85,21.98,-1.00,0.53,23.480871,14.988563
15.19,4.90,13.59,1.03,42.88,1.35,0.71,0.70,1.54,4.88,1.00,1.01,82.546371,19.573513
222.95,24.50,84.93,0.39,764.40,1.66,0.90,0.13,22.60,41.63,-13.00,0.26,52.956703,130.949799
145.04,17.50,54.93,0.60,1658.65,1.51,0.96,0.94,4.61,26.25,-1.00,0.63,7.510829,79.189034
117.11,14.70,47.35,0.66,1188.25,1.64,0.96,0.88,6.07,33.82,2.00,0.55,2.266068,43.796593
6.86,2.80,10.00,0.86,51.45,1.59,0.75,0.56,2.50,7.48,1.00,0.73,79.091255,10.760049
9.31,4.90,14.14,0.58,39.20,1.67,0.54,0.54,5.13,9.28,0.00,0.53,74.956833,6.513351
7.35,5.60,15.24,0.40,17.15,1.25,0.88,0.88,6.20,10.83,6.00,0.46,74.329903,9.529275
2.45,3.50,7.35,0.57,9.80,1.32,0.33,0.33,1.41,3.17,1.00,0.67,104.729187,19.008356
8.82,6.30,16.34,0.41,15.92,1.47,0.67,0.60,4.39,8.18,4.00,0.42,71.866295,3.613154
6.37,4.90,13.37,0.45,14.70,1.53,0.36,0.36,3.90,6.92,1.00,0.31,89.888863,10.525269
6.86,2.80,10.00,0.86,51.45,1.56,0.75,0.56,2.50,7.48,1.00,0.73,79.434921,10.711879
4.90,4.20,10.71,0.54,13.47,1.50,0.57,0.51,2.15,4.23,1.00,0.65,83.351181,9.261789
7.35,5.60,15.24,0.40,17.15,1.25,0.88,0.88,6.20,10.83,6.00,0.46,74.329903,9.529275
4.90,2.80,8.12,0.93,14.09,1.15,0.80,0.71,1.73,3.95,1.00,0.91,95.524109,22.975595
12.25,9.80,24.08,0.27,45.94,1.68,0.31,0.22,4.86,9.23,1.00,0.43,80.244896,12.162887
6.86,3.50,10.00,0.86,20.21,1.54,0.62,0.45,2.50,4.42,0.00,0.79,85.507034,12.570654
9.80,4.20,12.27,0.82,24.50,1.45,0.86,0.77,2.61,5.25,1.00,0.72,74.922646,11.353209
6.37,3.50,9.45,0.90,14.70,1.40,0.86,0.77,2.90,5.02,1.00,0.61,79.899246,11.709564
54.39,12.60,43.37,0.36,167.82,1.62,0.77,0.27,8.08,19.33,1.00,0.27,38.870888,6.995816
10.78,4.20,12.11,0.92,27.56,1.42,0.88,0.67,2.94,5.67,1.00,0.73,76.476044,11.786265
14.21,6.30,17.19,0.60,39.20,1.49,0.67,0.45,3.22,7.25,1.00,0.58,70.455986,4.837330
14.21,4.90,13.59,0.97,22.66,1.47,0.75,0.45,4.24,7.90,4.00,0.63,76.025208,7.633298
8.82,4.90,11.88,0.79,14.09,1.59,0.50,0.45,2.66,5.20,2.00,0.65,83.388458,9.957130
31.36,9.10,26.41,0.56,153.12,1.48,0.94,0.74,6.82,15.00,1.00,0.47,45.606998,4.088820
28.42,9.10,22.66,0.70,188.04,1.66,0.67,0.60,4.51,13.88,1.00,0.54,50.361557,3.239768
14.70,7.70,14.53,0.87,131.07,1.34,0.95,0.38,5.53,14.82,1.00,0.38,68.229790,6.852941
15.19,9.10,27.45,0.25,52.06,1.33,0.92,0.41,6.53,10.73,1.00,0.44,62.744194,5.720494
1.96,2.80,6.18,0.64,10.41,1.20,0.67,0.56,2.97,5.82,3.00,0.52,93.215576,12.442949
1.96,2.80,6.18,0.64,10.41,1.22,0.67,0.56,2.97,5.82,3.00,0.52,92.775848,12.150731
3.43,12.60,8.67,0.57,84.52,1.65,0.36,0.36,10.51,21.45,4.00,0.29,81.940125,9.438435
2.94,2.80,6.96,0.76,8.57,1.43,0.57,0.51,3.20,5.53,3.00,0.46,89.823471,9.394883
3.92,4.90,11.91,0.35,9.19,1.14,1.00,0.77,5.37,8.88,8.00,0.32,84.689293,14.408224
9.31,4.20,11.33,0.91,23.28,1.55,0.57,0.57,1.45,4.00,1.00,0.86,84.350372,14.470881
4.90,3.50,9.61,0.67,9.80,1.43,0.83,0.83,3.42,5.95,3.00,0.48,77.987503,9.204665
7.84,4.20,11.10,0.80,20.83,1.45,0.86,0.77,2.75,6.60,3.00,0.55,75.110466,8.805066
1.96,4.20,6.18,0.64,22.66,1.32,0.75,0.45,4.24,7.90,4.00,0.63,87.052856,9.740407
31.85,15.40,39.87,0.25,83.91,1.75,0.21,0.21,11.04,20.97,3.00,0.16,72.178535,19.923386
6.37,3.50,10.94,0.67,14.09,1.21,0.80,0.71,1.73,3.95,1.00,0.91,88.291107,19.036457
14.70,7.00,18.61,0.53,33.69,1.93,0.46,0.27,4.48,8.87,2.00,0.51,77.466003,11.707142
9.80,5.60,17.28,0.41,24.50,1.48,0.75,0.75,3.14,7.30,3.00,0.45,68.590271,4.969189
3.92,2.10,6.80,1.07,11.64,1.18,0.86,0.77,4.13,7.25,4.00,0.44,92.827019,16.787640
7.84,4.20,11.88,0.70,24.50,1.31,0.88,0.67,2.56,5.90,1.00,0.63,77.848579,10.529072
12.25,9.80,24.08,0.27,45.94,1.71,0.31,0.22,4.86,9.23,1.00,0.43,80.186737,12.391745
1.96,2.10,5.08,0.95,14.09,1.53,0.50,0.45,2.66,5.20,2.00,0.65,96.138756,14.502416
12.25,9.80,24.08,0.27,45.94,1.71,0.31,0.22,4.86,9.23,1.00,0.43,80.186737,12.391745
7.84,4.20,14.31,0.48,26.95,1.30,0.80,0.54,3.25,7.02,1.00,0.39,77.900345,7.113632
40.67,9.80,28.84,0.61,177.62,1.61,0.88,0.78,4.15,12.63,1.00,0.60,40.071487,5.889616
10.78,13.30,14.92,0.61,159.86,1.73,0.39,0.39,6.24,13.68,-1.00,0.50,70.711143,9.944807
2.94,4.20,7.90,0.59,15.31,1.68,0.50,0.50,7.41,11.98,7.00,0.25,86.416809,7.589832
13.72,6.30,16.25,0.65,25.73,1.41,0.67,0.60,2.68,5.85,1.00,0.65,72.198563,6.947659
6.37,3.50,9.45,0.90,14.70,1.31,0.86,0.77,2.90,5.02,1.00,0.61,82.299660,12.984457
15.68,18.90,36.12,0.15,37.36,1.62,0.59,0.13,12.85,21.90,9.00,0.14,68.942841,13.382121
24.50,11.20,26.80,0.43,45.94,1.75,0.31,0.22,4.86,9.23,1.00,0.43,73.466499,12.385694
9.31,4.90,14.14,0.58,39.20,1.67,0.54,0.54,5.13,9.28,0.00,0.53,74.956833,6.513351
40.67,9.80,28.84,0.61,177.62,1.55,0.88,0.78,4.15,12.63,1.00,0.60,40.714947,5.783166
3.43,12.60,8.67,0.57,84.52,1.67,0.36,0.36,10.51,21.45,4.00,0.29,81.809387,9.626932
2.94,2.80,6.96,0.76,17.76,1.24,0.50,0.42,2.01,4.37,1.00,0.80,100.939240,18.719025
17.15,11.90,27.35,0.29,25.11,1.85,0.35,0.32,5.65,9.77,2.00,0.29,73.666206,12.262875
77.42,25.20,59.46,0.28,251.74,1.71,0.29,0.19,7.66,19.72,1.00,0.30,52.273968,39.031841
5.88,4.90,10.94,0.62,13.47,1.55,0.57,0.51,2.15,4.23,1.00,0.65,81.589554,8.823230
17.15,5.60,16.02,0.84,90.04,1.40,0.78,0.65,1.79,7.25,1.00,0.86,70.552826,12.000102
6.37,4.90,13.37,0.45,14.70,1.54,0.36,0.36,3.90,6.92,1.00,0.31,89.687904,10.504453
17.15,11.90,27.35,0.29,25.11,1.85,0.35,0.32,5.65,9.77,2.00,0.29,73.666206,12.262867
25.48,9.10,22.27,0.65,52.06,1.65,0.54,0.27,2.73,6.83,1.00,0.63,66.977158,7.524606
2.45,3.50,6.02,0.85,8.57,1.23,0.86,0.77,3.83,6.65,5.00,0.40,88.265015,12.938779
12.25,5.60,14.69,0.71,39.20,1.62,0.54,0.54,5.13,9.28,0.00,0.53,73.536583,6.078215
11.76,3.50,12.11,1.01,90.04,1.47,0.78,0.65,1.79,7.25,1.00,0.86,77.547691,14.459150
15.68,8.40,20.16,0.48,31.85,1.55,0.50,0.30,2.79,6.60,1.00,0.48,73.604630,6.334083
1.96,2.80,6.18,0.64,10.41,1.25,0.67,0.56,2.97,5.82,3.00,0.52,91.739227,11.476598
19.11,8.40,20.00,0.60,123.72,1.70,0.65,0.62,5.31,15.18,2.00,0.44,56.673817,2.558857
24.99,7.70,22.43,0.62,89.42,1.57,0.92,0.82,5.19,14.68,4.00,0.44,51.781727,4.404986
20.58,5.60,16.25,0.98,40.42,1.50,0.78,0.40,3.32,6.08,1.00,0.90,74.530930,12.994238
4.41,4.20,9.77,0.58,13.47,1.32,0.67,0.60,2.03,4.83,2.00,0.70,84.867188,10.981670
3.92,4.90,11.91,0.35,9.19,1.14,1.00,0.77,5.37,8.88,8.00,0.32,84.689293,14.408221
19.11,6.30,17.74,0.76,48.39,1.36,0.78,0.78,2.22,6.37,1.00,0.73,67.754044,9.987581
63.21,25.20,47.58,0.35,251.74,1.71,0.29,0.19,7.66,19.72,1.00,0.30,55.289909,32.341156
32.34,9.10,35.73,0.32,317.89,1.39,0.90,0.84,11.88,40.20,5.00,0.32,38.246124,6.726930
16.17,8.40,24.86,0.33,65.54,1.36,0.94,0.33,6.58,11.75,1.00,0.45,63.404266,5.407542
33.81,19.60,40.17,0.26,86.98,1.61,0.61,0.13,7.81,14.73,0.00,0.27,56.435204,13.458055
14.70,8.40,15.63,0.76,83.30,1.46,0.94,0.78,11.71,21.93,1.00,0.32,60.178181,5.077257
28.91,14.70,34.54,0.30,71.05,1.76,0.24,0.21,10.27,19.02,3.00,0.15,73.394554,17.494047
18.62,5.60,16.80,0.83,29.40,1.45,0.75,0.45,2.95,5.43,1.00,0.83,73.337219,10.351837
84.28,21.00,57.84,0.32,280.52,1.52,0.80,0.20,6.69,21.23,1.00,0.28,31.576117,24.840967
57.33,20.30,55.73,0.23,171.50,1.54,0.79,0.21,9.45,23.28,0.00,0.21,39.852909,18.663883
63.21,25.20,47.58,0.35,251.74,1.71,0.29,0.19,7.66,19.72,1.00,0.30,55.289906,32.341160
28.42,14.70,34.24,0.30,53.90,2.05,0.48,0.26,5.17,12.00,4.00,0.30,64.342636,16.321115
15.19,4.90,15.86,0.76,52.06,1.46,0.82,0.49,2.45,7.02,1.00,0.57,70.004547,6.176533
19.60,11.90,29.00,0.29,93.10,1.64,0.76,0.29,10.91,23.70,4.00,0.16,57.184513,3.612483
83.30,12.60,68.65,0.22,779.10,1.88,1.00,0.63,13.06,52.62,3.00,0.45,10.407729,34.761578
5.88,3.50,9.61,0.80,12.86,1.39,0.83,0.60,2.08,4.13,1.00,0.70,81.995583,11.483779
3.43,2.80,6.96,0.89,18.99,1.43,0.70,0.54,4.73,8.13,1.00,0.46,85.643517,8.710378
29.89,12.60,29.46,0.43,48.39,1.75,0.39,0.30,5.23,8.88,1.00,0.44,64.588181,10.005842
14.70,5.60,14.53,0.87,26.34,1.65,0.56,0.40,2.54,5.38,1.00,0.81,79.257271,12.031085
8.33,7.00,18.45,0.31,22.66,1.54,0.60,0.54,4.88,9.53,3.00,0.37,71.346138,3.550198
22.05,9.10,22.82,0.53,48.39,1.70,0.57,0.51,3.60,9.48,3.00,0.52,61.094521,4.151585
1.96,2.10,5.63,0.78,17.15,1.24,0.88,0.45,3.19,5.67,1.00,0.58,92.144592,13.989733
7.35,4.20,12.98,0.55,26.95,1.31,0.80,0.54,3.25,7.02,1.00,0.39,78.532005,7.088854
7.84,4.20,11.88,0.70,24.50,1.31,0.88,0.67,2.56,5.90,1.00,0.63,77.848579,10.529072
4.90,4.20,10.71,0.54,13.47,1.50,0.57,0.51,2.15,4.23,1.00,0.65,83.351181,9.261789
14.21,6.30,17.19,0.60,39.20,1.53,0.67,0.45,3.22,7.25,1.00,0.58,69.800323,4.704820
31.36,15.40,36.19,0.30,68.60,2.15,0.45,0.24,4.68,11.53,2.00,0.31,65.971848,22.010220
13.72,4.90,13.76,0.91,41.65,1.43,0.88,0.67,2.03,5.90,1.00,0.81,73.683624,12.550231
6.37,2.80,9.06,0.97,26.34,1.52,0.56,0.40,2.54,5.38,1.00,0.81,91.325287,15.207107
8.82,7.00,11.88,0.79,77.79,1.32,0.94,0.40,6.58,17.28,5.00,0.24,75.041199,6.829426
9.31,4.20,11.49,0.89,23.89,1.47,0.67,0.56,1.68,4.65,1.00,1.01,85.504082,17.455313
14.21,6.30,17.19,0.60,39.20,1.56,0.67,0.45,3.22,7.25,1.00,0.58,69.454842,4.688130
3.92,3.50,8.12,0.75,33.07,1.37,0.22,0.22,6.43,11.43,1.00,0.28,108.605019,19.154364
1.47,2.10,4.69,0.84,12.25,1.40,0.62,0.45,4.07,7.02,3.00,0.37,93.386780,10.119996
3.92,2.10,6.80,1.07,11.64,1.28,0.86,0.77,4.13,7.25,4.00,0.44,89.115341,14.373551
33.81,12.60,30.01,0.47,167.82,1.60,0.77,0.27,8.08,19.33,1.00,0.27,47.972706,3.229829
19.11,5.60,17.74,0.76,76.56,1.43,0.73,0.71,3.69,9.48,1.00,0.52,64.645317,5.301179
10.78,13.30,14.92,0.61,159.86,1.73,0.39,0.39,6.24,13.68,-1.00,0.50,70.711143,9.944809
2.94,2.10,5.86,1.08,20.83,1.39,0.67,0.40,2.87,5.85,1.00,0.60,94.485420,13.922064
141.12,14.70,49.85,0.71,1658.65,1.55,0.96,0.94,4.61,26.25,-1.00,0.63,7.504009,73.952065
29.40,9.80,25.86,0.55,86.36,1.35,0.93,0.38,4.62,9.80,1.00,0.58,56.622929,6.196004
4.90,3.50,9.61,0.67,9.80,1.36,0.83,0.83,3.42,5.95,3.00,0.48,79.728012,10.037321
16.17,8.40,24.86,0.33,65.54,1.39,0.94,0.33,6.58,11.75,1.00,0.45,62.795433,5.098719
17.15,7.70,20.39,0.52,46.55,1.57,0.64,0.49,3.13,6.42,0.00,0.73,66.198051,6.495525
39.20,11.90,40.65,0.30,268.27,1.60,1.00,0.79,21.44,56.17,11.00,0.38,37.035938,14.206182
11.76,5.60,16.02,0.58,17.15,1.41,0.88,0.45,3.19,5.67,1.00,0.58,72.254684,6.583287
63.21,25.20,47.58,0.35,251.74,1.72,0.29,0.19,7.66,19.72,1.00,0.30,55.283760,32.421196
13.72,4.90,13.76,0.91,41.65,1.43,0.88,0.67,2.03,5.90,1.00,0.81,73.683624,12.550233
4.41,2.80,7.74,0.93,26.95,1.45,0.67,0.40,2.88,5.62,1.00,0.80,90.333473,14.124196
6.37,3.50,10.94,0.67,14.09,1.21,0.80,0.71,1.73,3.95,1.00,0.91,88.291100,19.036455
10.78,4.90,12.82,0.82,27.56,1.45,0.62,0.45,1.62,4.42,1.00,0.79,81.762833,11.397534
13.72,6.30,16.25,0.65,25.73,1.40,0.67,0.60,2.68,5.85,1.00,0.65,72.345238,7.016232
9.80,4.20,11.33,0.96,36.75,1.29,0.57,0.56,1.45,4.78,1.00,0.88,90.203117,17.806837
24.50,10.50,24.54,0.51,76.56,1.72,0.35,0.21,3.68,9.42,1.00,0.55,72.049797,11.556833
19.60,6.30,18.68,0.71,31.24,1.50,0.89,0.40,3.06,6.08,1.00,0.71,67.183624,7.653954
14.70,5.60,14.53,0.87,26.34,1.65,0.56,0.40,2.54,5.38,1.00,0.81,79.257271,12.031084
2.45,3.50,6.02,0.85,8.57,1.23,0.86,0.77,3.83,6.65,5.00,0.40,88.265015,12.938779
46.55,11.20,51.91,0.22,444.67,1.63,0.94,0.79,24.74,80.72,28.00,0.34,49.487804,36.860806
82.32,13.30,65.60,0.24,826.26,1.87,1.00,0.77,20.11,76.10,-3.00,0.35,14.512167,44.257607
17.15,5.60,16.02,0.84,90.04,1.40,0.78,0.65,1.79,7.25,1.00,0.86,70.552826,12.000104
12.74,6.30,14.92,0.72,15.92,1.67,0.44,0.20,2.86,4.92,1.00,0.72,85.642990,13.292418
7.84,4.20,10.94,0.82,30.01,1.26,0.71,0.70,1.59,4.65,1.00,0.71,83.659050,13.386882
3.43,12.60,8.67,0.57,84.52,1.72,0.36,0.36,10.51,21.45,4.00,0.29,81.695824,10.093730
4.41,2.80,7.74,0.93,26.95,1.42,0.67,0.40,2.88,5.62,1.00,0.80,90.872108,14.341848
238.63,22.40,117.39,0.22,731.94,1.63,0.85,0.14,26.04,52.10,1.00,0.20,74.619888,164.209442
54.39,12.60,43.37,0.36,167.82,1.57,0.77,0.27,8.08,19.33,1.00,0.27,39.336620,6.843412
15.19,6.30,18.29,0.57,44.10,1.32,0.89,0.79,3.28,7.85,1.00,0.72,67.519875,10.510618
6.37,4.20,10.39,0.74,22.66,1.48,0.43,0.43,1.17,3.58,1.00,0.81,92.324844,15.675788
16.17,8.40,19.84,0.52,20.21,1.68,0.33,0.15,3.75,6.40,1.00,0.52,83.851639,12.926394
11.76,5.60,16.02,0.58,17.15,1.49,0.88,0.45,3.19,5.67,1.00,0.58,70.677956,5.987849
9.80,4.90,14.86,0.56,51.45,1.45,0.75,0.56,2.50,7.48,1.00,0.73,72.937584,7.945109
11.76,7.00,15.70,0.60,24.50,1.78,0.50,0.50,2.84,5.12,1.00,0.70,75.456398,10.386679
13.23,5.60,14.92,0.75,32.46,1.65,0.42,0.42,3.13,7.10,1.00,0.55,80.551201,9.619116
6.37,4.20,10.39,0.74,22.66,1.48,0.43,0.43,1.17,3.58,1.00,0.81,92.324844,15.675788
3.92,2.10,6.80,1.07,11.64,1.18,0.86,0.77,4.13,7.25,4.00,0.44,92.827011,16.787636
8.33,7.00,18.45,0.31,22.66,1.57,0.60,0.54,4.88,9.53,3.00,0.37,71.025604,3.547198
10.78,4.20,12.11,0.92,27.56,1.42,0.88,0.67,2.94,5.67,1.00,0.73,76.476044,11.786265
57.33,20.30,55.73,0.23,171.50,1.54,0.79,0.21,9.45,23.28,0.00,0.21,39.852913,18.663883
5.88,3.50,9.61,0.80,30.01,1.17,0.71,0.70,1.59,4.65,1.00,0.71,89.023079,16.004110
19.60,6.30,18.68,0.71,31.24,1.45,0.89,0.40,3.06,6.08,1.00,0.71,67.977356,7.905950
7.84,4.20,11.88,0.70,24.50,1.31,0.88,0.67,2.56,5.90,1.00,0.63,77.848579,10.529072
19.11,8.40,20.00,0.60,123.72,1.66,0.65,0.62,5.31,15.18,2.00,0.44,56.797047,2.218258
2.94,4.20,7.90,0.59,15.31,1.61,0.50,0.50,7.41,11.98,7.00,0.25,86.836288,7.145786
31.85,9.10,34.79,0.33,315.44,1.46,0.89,0.79,11.98,41.32,6.00,0.35,37.384197,5.394741
33.81,12.60,30.01,0.47,167.82,1.63,0.77,0.27,8.08,19.33,1.00,0.27,47.750904,3.355484
6.37,3.50,10.94,0.67,14.09,1.13,0.80,0.71,1.73,3.95,1.00,0.91,91.084175,20.959438
48.51,16.10,38.13,0.42,113.31,2.02,0.48,0.23,3.79,10.65,1.00,0.43,54.297115,18.671770
7.84,4.90,13.21,0.56,28.79,1.42,0.67,0.67,4.97,9.72,2.00,0.35,75.231453,4.966304
3.92,3.50,8.12,0.75,33.07,1.39,0.22,0.22,6.43,11.43,1.00,0.28,108.300446,19.002144
4.90,6.30,13.37,0.34,9.19,1.75,0.44,0.44,4.62,7.77,6.00,0.37,82.808136,8.543598
19.11,5.60,17.74,0.76,76.56,1.43,0.73,0.71,3.69,9.48,1.00,0.52,64.645317,5.301179
25.48,9.10,29.48,0.37,106.57,1.68,0.87,0.83,6.46,18.17,5.00,0.45,45.897541,4.075714
29.40,9.80,25.86,0.55,86.36,1.35,0.93,0.38,4.62,9.80,1.00,0.58,56.622929,6.196004
3.92,3.50,8.12,0.75,33.07,1.38,0.22,0.22,6.43,11.43,1.00,0.28,108.532265,19.117508
2.45,3.50,6.02,0.85,8.57,1.23,0.86,0.77,3.83,6.65,5.00,0.40,88.265015,12.938779
31.36,9.10,26.41,0.56,153.12,1.48,0.94,0.74,6.82,15.00,1.00,0.47,45.606998,4.088820
6.86,3.50,10.00,0.86,36.75,1.18,0.57,0.56,1.45,4.78,1.00,0.88,95.785545,20.189735
31.36,9.10,26.41,0.56,153.12,1.48,0.94,0.74,6.82,15.00,1.00,0.47,45.607002,4.088821
4.90,3.50,9.61,0.67,9.80,1.36,0.83,0.83,3.42,5.95,3.00,0.48,79.728012,10.037321
9.31,4.90,14.14,0.58,39.20,1.67,0.54,0.54,5.13,9.28,0.00,0.53,74.956833,6.513350
7.35,4.20,10.55,0.83,72.28,1.38,0.94,0.45,6.14,15.05,2.00,0.29,77.191177,7.513178
4.90,7.70,12.36,0.40,29.40,1.30,0.93,0.36,11.12,20.17,14.00,0.22,81.358345,8.353344
17.15,7.70,20.39,0.52,46.55,1.57,0.64,0.49,3.13,6.42,0.00,0.73,66.198051,6.495525
4.90,6.30,13.37,0.34,9.19,1.74,0.44,0.44,4.62,7.77,6.00,0.37,82.797310,8.426874
4.90,7.70,12.36,0.40,29.40,1.30,0.93,0.36,11.12,20.17,14.00,0.22,81.358353,8.353346
11.76,5.60,15.24,0.64,30.01,1.24,1.00,0.67,2.53,6.37,1.00,0.58,74.054939,11.840852
14.70,8.40,15.63,0.76,83.30,1.48,0.94,0.78,11.71,21.93,1.00,0.32,59.721672,4.929872
1.96,2.80,6.34,0.61,17.15,1.25,0.88,0.88,6.20,10.83,6.00,0.46,85.347122,12.698583
19.11,8.40,20.00,0.60,123.72,1.66,0.65,0.62,5.31,15.18,2.00,0.44,56.797047,2.218258
145.04,17.50,54.93,0.60,1658.65,1.54,0.96,0.94,4.61,26.25,-1.00,0.63,7.128764,79.137901
3.43,12.60,8.67,0.57,84.52,1.65,0.36,0.36,10.51,21.45,4.00,0.29,81.940125,9.438437
